index,true_name,image_path,phase,status,matched,pred_id,pred_name,pred_bucket,similarity,correct,faces,width,height,box,detect_ms,recognize_ms,enroll_ms,total_ms,esp_err,error
1,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\1.png,enroll,ok,,1,Face_1,,,,1,128,128,"{""x"": 24, ""y"": 2, ""w"": 79, ""h"": 114}",54,,586,,,
2,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\2.png,enroll,ok,,2,Face_1,,,,1,128,128,"{""x"": 25, ""y"": 3, ""w"": 79, ""h"": 111}",54,,655,,,
3,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\3.png,enroll,ok,,3,Face_1,,,,1,128,128,"{""x"": 22, ""y"": 1, ""w"": 83, ""h"": 113}",53,,652,,,
4,Face_2,D:\Project_TotNghiep\face_dataset\Face_2\1.png,enroll,ok,,4,Face_2,,,,1,128,128,"{""x"": 13, ""y"": 0, ""w"": 105, ""h"": 128}",53,,693,,,
5,Face_2,D:\Project_TotNghiep\face_dataset\Face_2\2.png,enroll,ok,,5,Face_2,,,,1,128,128,"{""x"": 13, ""y"": 0, ""w"": 105, ""h"": 125}",53,,694,,,
6,Face_2,D:\Project_TotNghiep\face_dataset\Face_2\3.png,enroll,ok,,6,Face_2,,,,1,128,128,"{""x"": 13, ""y"": 0, ""w"": 105, ""h"": 127}",53,,733,,,
7,Face_3,D:\Project_TotNghiep\face_dataset\Face_3\1.png,enroll,ok,,7,Face_3,,,,1,128,128,"{""x"": 25, ""y"": 6, ""w"": 81, ""h"": 109}",53,,734,,,
8,Face_3,D:\Project_TotNghiep\face_dataset\Face_3\2.png,enroll,ok,,8,Face_3,,,,1,128,128,"{""x"": 25, ""y"": 7, ""w"": 81, ""h"": 110}",53,,775,,,
9,Face_3,D:\Project_TotNghiep\face_dataset\Face_3\3.png,enroll,ok,,9,Face_3,,,,1,128,128,"{""x"": 22, ""y"": 5, ""w"": 85, ""h"": 112}",54,,780,,,
10,Face_4,D:\Project_TotNghiep\face_dataset\Face_4\1.png,enroll,ok,,10,Face_4,,,,1,128,128,"{""x"": 18, ""y"": 0, ""w"": 95, ""h"": 117}",54,,822,,,
11,Face_4,D:\Project_TotNghiep\face_dataset\Face_4\2.png,enroll,ok,,11,Face_4,,,,1,128,128,"{""x"": 21, ""y"": 1, ""w"": 91, ""h"": 116}",53,,817,,,
12,Face_4,D:\Project_TotNghiep\face_dataset\Face_4\3.png,enroll,ok,,12,Face_4,,,,1,128,128,"{""x"": 19, ""y"": 0, ""w"": 93, ""h"": 120}",53,,884,,,
13,Face_5,D:\Project_TotNghiep\face_dataset\Face_5\1.png,enroll,ok,,13,Face_5,,,,1,128,128,"{""x"": 27, ""y"": 0, ""w"": 96, ""h"": 119}",53,,858,,,
14,Face_5,D:\Project_TotNghiep\face_dataset\Face_5\2.png,enroll,ok,,14,Face_5,,,,1,128,128,"{""x"": 26, ""y"": 0, ""w"": 100, ""h"": 121}",54,,890,,,
15,Face_5,D:\Project_TotNghiep\face_dataset\Face_5\3.png,enroll,ok,,15,Face_5,,,,1,128,128,"{""x"": 24, ""y"": 0, ""w"": 102, ""h"": 119}",53,,881,,,
16,Face_6,D:\Project_TotNghiep\face_dataset\Face_6\1.png,enroll,ok,,16,Face_6,,,,1,128,128,"{""x"": 22, ""y"": 11, ""w"": 87, ""h"": 107}",55,,921,,,
17,Face_6,D:\Project_TotNghiep\face_dataset\Face_6\2.png,enroll,ok,,17,Face_6,,,,1,128,128,"{""x"": 25, ""y"": 14, ""w"": 87, ""h"": 107}",54,,926,,,
18,Face_6,D:\Project_TotNghiep\face_dataset\Face_6\3.png,enroll,ok,,18,Face_6,,,,1,128,128,"{""x"": 24, ""y"": 15, ""w"": 83, ""h"": 104}",54,,967,,,
19,Face_7,D:\Project_TotNghiep\face_dataset\Face_7\1.png,enroll,ok,,19,Face_7,,,,1,128,128,"{""x"": 20, ""y"": 8, ""w"": 83, ""h"": 106}",53,,962,,,
20,Face_7,D:\Project_TotNghiep\face_dataset\Face_7\2.png,enroll,ok,,20,Face_7,,,,1,128,128,"{""x"": 23, ""y"": 5, ""w"": 81, ""h"": 109}",54,,1011,,,
21,Face_7,D:\Project_TotNghiep\face_dataset\Face_7\3.png,enroll,ok,,21,Face_7,,,,1,128,128,"{""x"": 20, ""y"": 7, ""w"": 83, ""h"": 107}",54,,1004,,,
22,Face_8,D:\Project_TotNghiep\face_dataset\Face_8\1.png,enroll,ok,,22,Face_8,,,,1,128,128,"{""x"": 21, ""y"": 0, ""w"": 94, ""h"": 115}",53,,1072,,,
23,Face_8,D:\Project_TotNghiep\face_dataset\Face_8\2.png,enroll,ok,,23,Face_8,,,,1,128,128,"{""x"": 21, ""y"": 0, ""w"": 96, ""h"": 116}",54,,1065,,,
24,Face_8,D:\Project_TotNghiep\face_dataset\Face_8\3.png,enroll,ok,,24,Face_8,,,,1,128,128,"{""x"": 20, ""y"": 0, ""w"": 98, ""h"": 118}",53,,1078,,,
25,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_190_13_crop_128.png,test,ok,True,3,Face_1,Face_1,0.537271,yes,1,128,128,"{""x"": 13, ""y"": 1, ""w"": 76, ""h"": 113}",54,566,,620,,
26,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_10_crop_128.png,test,ok,True,1,Face_1,Face_1,0.66911,yes,1,128,128,"{""x"": 26, ""y"": 0, ""w"": 91, ""h"": 123}",53,567,,620,,
27,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_13_crop_128.png,test,ok,True,1,Face_1,Face_1,0.572867,yes,1,128,128,"{""x"": 32, ""y"": 0, ""w"": 86, ""h"": 121}",53,567,,621,,
28,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_041_13_crop_128.png,test,ok,True,1,Face_1,Face_1,0.699933,yes,1,128,128,"{""x"": 13, ""y"": 0, ""w"": 84, ""h"": 115}",54,569,,623,,
29,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_051_17_crop_128.png,test,ok,True,1,Face_1,Face_1,0.810293,yes,1,128,128,"{""x"": 23, ""y"": 2, ""w"": 81, ""h"": 113}",53,565,,619,,
30,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_051_00_crop_128.png,test,ok,True,1,Face_1,Face_1,0.670069,yes,1,128,128,"{""x"": 24, ""y"": 5, ""w"": 82, ""h"": 114}",54,566,,620,,
31,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_041_01_crop_128.png,test,ok,True,1,Face_1,Face_1,0.575774,yes,1,128,128,"{""x"": 15, ""y"": 5, ""w"": 78, ""h"": 114}",54,566,,621,,
32,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_140_00_crop_128.png,test,ok,True,1,Face_1,Face_1,0.66907,yes,1,128,128,"{""x"": 25, ""y"": 0, ""w"": 83, ""h"": 116}",53,570,,624,,
33,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_050_01_crop_128.png,test,ok,True,2,Face_1,Face_1,0.720557,yes,1,128,128,"{""x"": 13, ""y"": 2, ""w"": 81, ""h"": 119}",53,566,,620,,
34,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_11_crop_128.png,test,ok,True,1,Face_1,Face_1,0.706323,yes,1,128,128,"{""x"": 31, ""y"": 0, ""w"": 87, ""h"": 121}",54,568,,622,,
35,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_14_crop_128.png,test,ok,True,2,Face_1,Face_1,0.691685,yes,1,128,128,"{""x"": 26, ""y"": 0, ""w"": 89, ""h"": 120}",53,567,,621,,
36,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_041_14_crop_128.png,test,ok,True,2,Face_1,Face_1,0.739754,yes,1,128,128,"{""x"": 13, ""y"": 2, ""w"": 82, ""h"": 115}",53,565,,619,,
37,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_03_crop_128.png,test,ok,True,2,Face_1,Face_1,0.669085,yes,1,128,128,"{""x"": 28, ""y"": 0, ""w"": 91, ""h"": 119}",53,565,,619,,
38,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_140_09_crop_128.png,test,ok,True,1,Face_1,Face_1,0.85452,yes,1,128,128,"{""x"": 28, ""y"": 0, ""w"": 79, ""h"": 115}",54,568,,622,,
39,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_02_crop_128.png,test,ok,True,2,Face_1,Face_1,0.659136,yes,1,128,128,"{""x"": 31, ""y"": 0, ""w"": 86, ""h"": 119}",53,565,,619,,
40,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_02_050_08_crop_128.png,test,ok,True,3,Face_1,Face_1,0.748595,yes,1,128,128,"{""x"": 16, ""y"": 0, ""w"": 89, ""h"": 118}",56,565,,622,,
41,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_00_crop_128.png,test,ok,True,2,Face_1,Face_1,0.515314,yes,1,128,128,"{""x"": 32, ""y"": 0, ""w"": 88, ""h"": 121}",53,566,,620,,
42,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_080_10_crop_128.png,test,ok,True,1,Face_1,Face_1,0.522006,yes,1,128,128,"{""x"": 35, ""y"": 0, ""w"": 85, ""h"": 120}",53,565,,619,,
43,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_16_crop_128.png,test,ok,True,3,Face_1,Face_1,0.675969,yes,1,128,128,"{""x"": 26, ""y"": 0, ""w"": 95, ""h"": 121}",54,566,,620,,
44,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_051_11_crop_128.png,test,ok,True,1,Face_1,Face_1,0.814796,yes,1,128,128,"{""x"": 21, ""y"": 4, ""w"": 83, ""h"": 112}",54,568,,622,,
45,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_06_crop_128.png,test,ok,True,3,Face_1,Face_1,0.754047,yes,1,128,128,"{""x"": 29, ""y"": 0, ""w"": 92, ""h"": 121}",53,567,,621,,
46,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_140_07_crop_128.png,test,ok,True,3,Face_1,Face_1,0.859588,yes,1,128,128,"{""x"": 31, ""y"": 0, ""w"": 79, ""h"": 115}",53,566,,620,,
47,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_090_11_crop_128.png,test,ok,False,,,__no_face__,,no,0,128,128,"""""",46,,,,,no_face
48,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_051_15_crop_128.png,test,ok,True,2,Face_1,Face_1,0.850489,yes,1,128,128,"{""x"": 26, ""y"": 4, ""w"": 79, ""h"": 109}",53,566,,620,,
49,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_02_120_16_crop_128.png,test,ok,False,,,__no_face__,,no,0,128,128,"""""",46,,,,,no_face
50,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_130_18_crop_128.png,test,ok,True,1,Face_1,Face_1,0.690463,yes,1,128,128,"{""x"": 27, ""y"": 0, ""w"": 93, ""h"": 122}",54,566,,621,,
51,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_02_080_10_crop_128.png,test,ok,False,-1,,__stranger__,0,no,1,128,128,"{""x"": 30, ""y"": 0, ""w"": 88, ""h"": 118}",54,567,,621,,
52,Face_1,D:\Project_TotNghiep\face_dataset\Face_1\003_01_01_041_12_crop_128.png,test,ok,True,1,Face_1,Face_1,0.751417,yes,1,128,128,"{""x"": 14, ""y"": 3, ""w"": 75, ""h"": 113}",54,565,,620,,
